,blaAFM_1,blaEC,blaNDM,blaOXA,blaTEM
0,,G18250057,G18250065,G18250057,G18250057
1,,G18250058,G18250077,G18250060,G18250065
2,,G18250059,G18250099,G18250065,G18250069
3,,G18250060,G18250128,G18250068,G18250070
4,,G18250065,G18250157,G18250081,G18250077
5,,G18250068,G18252044,G18250082,G18250086
6,,G18250069,G18252045,G18250083,G18250089
7,,G18250070,G18252046,G18250085,G18250095
8,,G18250072,G18252047,G18250086,G18250098
9,,G18250076,G18252048,G18250087,G18250099
10,,G18250077,G18252049,G18250094,G18250106
11,,G18250078,G18252050,G18250095,G18250109
12,,G18250079,G18252051,G18250097,G18250124
13,,G18250080,G18253167,G18250100,G18250127
14,,G18250081,G18253188,G18250109,G18250128
15,,G18250082,G18253192,G18250127,G18250138
16,,G18250083,G18253196,G18250141,G18250141
17,,G18250085,G18253203,G18250145,G18250145
18,,G18250086,G18253241,G18250153,G18250157
19,,G18250087,G18253247,G18250164,G18250160
20,,G18250089,G18253248,G18250165,G18250172
21,,G18250094,G18253256,G18250182,G18250176
22,,G18250095,G18253261,G18252045,G18250183
23,,G18250097,G18253279,G18252046,G18252044
24,,G18250098,G18253283,G18252047,G18252045
25,,G18250099,G18253286,G18252048,G18252046
26,,G18250100,G18253302,G18252050,G18252047
27,,G18250105,G18253313,G18253188,G18252048
28,,G18250106,,G18253192,G18252049
29,,G18250109,,G18253241,G18252050
30,,G18250110,,G18253247,G18252051
31,,G18250124,,G18253283,G18253167
32,,G18250127,,G18253302,G18253188
33,,G18250128,,G18253305,G18253241
34,,G18250138,,G18253307,G18253247
35,,G18250140,,G18253313,G18253248
36,,G18250141,,G18253321,G18253256
37,,G18250145,,G18253323,G18253261
38,,G18250150,,G18252049,G18253283
39,,G18250153,,G18250069,G18253286
40,,G18250157,,G18250070,G18253302
41,,G18250158,,G18253216,G18253305
42,,G18250160,,G18253247,G18253307
43,,G18250164,,G18253305,G18253313
44,,G18250165,,G18253323,G18253316
45,,G18250172,,,G18253321
46,,G18250176,,,G18253335
47,,G18250179,,,
48,,G18250182,,,
49,,G18250183,,,
50,,G18252044,,,
51,,G18252045,,,
52,,G18252046,,,
53,,G18252047,,,
54,,G18252048,,,
55,,G18252049,,,
56,,G18252050,,,
57,,G18252051,,,
58,,G18253167,,,
59,,G18253188,,,
60,,G18253192,,,
61,,G18253196,,,
62,,G18253203,,,
63,,G18253216,,,
64,,G18253241,,,
65,,G18253247,,,
66,,G18253248,,,
67,,G18253256,,,
68,,G18253261,,,
69,,G18253279,,,
70,,G18253283,,,
71,,G18253286,,,
72,,G18253302,,,
73,,G18253305,,,
74,,G18253307,,,
75,,G18253313,,,
76,,G18253316,,,
77,,G18253321,,,
78,,G18253323,,,
79,,G18253332,,,
80,,G18253335,,,
